/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/brute-force,2.741022429873016e-5,2.6894041718119102e-5,2.8230404038928053e-5,2.28433861810529e-6,1.3910721941404127e-6,3.351928421883714e-6
/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/shallow,1.4631805715631411e-5,1.4479049368017263e-5,1.491150103385354e-5,6.579708537648679e-7,4.7465530350777015e-7,1.0092932176868083e-6
/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/deep,1.1210883044234829e-4,1.093325631693887e-4,1.1552829000211078e-4,1.0413416757084243e-5,8.361928728136103e-6,1.3080773753616167e-5
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/brute-force,2.3070935282090007e-5,2.2796919092686737e-5,2.333442890626171e-5,8.877521826609336e-7,7.523843038949977e-7,1.0529724690038365e-6
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/shallow,2.044964147328543e-5,2.0267472503873096e-5,2.073014204096566e-5,7.427000379024698e-7,4.931429324822314e-7,1.4069892591480446e-6
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/deep,2.511321145664824e-4,2.4810859076899316e-4,2.541167327369227e-4,1.0959234014859172e-5,9.38354878552623e-6,1.3032303236650186e-5
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/brute-force,3.5133298060409865e-3,3.4350553607730575e-3,3.6058569749550795e-3,2.6654322948939824e-4,2.2367215472667294e-4,3.401697926230622e-4
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/shallow,1.5965666560929e-3,1.5496126202403436e-3,1.6745840457254911e-3,2.0612044762170076e-4,1.1686090880744303e-4,3.04992931379505e-4
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/deep,2.4318364748263988e-4,2.3969111465713821e-4,2.4803148239121303e-4,1.2802612881884688e-5,9.474974165777416e-6,1.882710327826778e-5
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/brute-force,1.8990336189704928e-4,1.882847190050124e-4,1.925888728868492e-4,6.7033183865836805e-6,5.296350510499603e-6,9.007393125803351e-6
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/shallow,3.698729504914838e-4,3.6800226662782163e-4,3.7238694841779e-4,7.135080319191752e-6,5.1202056569613476e-6,1.0903575671916168e-5
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/deep,2.609725006239993,2.5611514499954255,2.702840668745921,9.187814597679285e-2,2.7591500353689735e-3,0.10911370164279041
/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/brute-force,8.448967939729632e-2,8.397368095629472e-2,8.526091936692995e-2,1.075056745853034e-3,6.11221866263491e-4,1.6618454652354117e-3
/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/shallow,8.611120718461092e-2,8.516693279121278e-2,8.70504112682298e-2,1.6235017766873445e-3,1.1583649556563803e-3,2.2165713820448216e-3
